FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Home -> Lighting & Light Fixtures,30878706438,New,B2BMarketplace,0.00617284,0.00617284,0.04,0.007575758,1,$15 ,38%,38%,0.008849558,1,$15 
"Sports, Fitness & Outdoors -> Hunting",30955175195,New,B2BMarketplace,0.204081633,0.317460317,1.017811705,0.37037037,40,$80 ,12%,12%,0.377358491,40,$80 
"Sports, Fitness & Outdoors -> Fishing & Wildlife",31324174832,New,B2BMarketplace,0.0625,0.079365079,0.131578947,0.119047619,10,$600 ,35%,35%,0.126582278,10,$600 
"Sports, Fitness & Outdoors -> Fishing & Wildlife",31324177666,New,B2BMarketplace,0.019047619,0.019047619,0.16,0.023809524,2,$220 ,47%,46%,0.013888889,1,$110 
Office -> Office Electronics -> Calculators,33317209507,New,B2BMarketplace,0.006134969,0.007936508,0.012658228,0.011904762,1,$70 ,54%,47%,0.013888889,1,$70 
Patio & Garden -> Gardening & Lawn Care -> Accessories,34411740019,New,B2BMarketplace,0.049382716,0.049382716,0.222222222,0.063492063,4,$40 ,14%,18%,0.070175439,4,$40 
Home Improvement -> Kitchen & Bath Fixtures,34449832380,New,B2BMarketplace,0.050632911,0.050632911,0.06779661,0.2,4,$196 ,17%,70%,0.25,4,$196 
Health & Beauty -> Oral Care,35000979803,New,B2BMarketplace,0.056497175,0.079365079,0.147058824,0.091743119,10,$210 ,30%,30%,0.091743119,10,$210 
Toys -> Dolls,35051424628,New,B2BMarketplace,0.137931034,0.137931034,0.222222222,0.363636364,4,$120 ,31%,77%,0.444444444,4,$120 
Toys -> Dolls,35051574323,New,B2BMarketplace,0.011111111,0.011627907,0.5,0.011904762,1,$35 ,65%,59%,0.012658228,1,$35 
Toys -> Dolls,35051584254,New,B2BMarketplace,2.571428571,2.571428571,3.6,9,36,$72 ,15%,20%,,,
Toys -> Dolls,35051585886,New,B2BMarketplace,0.184210526,0.277777778,1.33297062,0.324074074,35,$525 ,12%,14%,0.327102804,35,$525 
Toys -> Dolls,35051587002,New,B2BMarketplace,0.294117647,0.297029703,2.380952381,0.357142857,30,$900 ,30%,30%,0.379746835,30,$900 
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",35481654220,New,B2BMarketplace,0.042857143,0.042857143,0.375,0.048387097,3,$21 ,23%,23%,0.050847458,3,$21 
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",35481657931,New,B2BMarketplace,0.014285714,0.014285714,0.125,0.016129032,1,$10 ,18%,18%,0.016949153,1,$10 
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",35481975363,New,B2BMarketplace,0.014285714,0.014285714,0.125,0.016129032,1,$10 ,17%,17%,0.016949153,1,$10 
Home -> Kitchen & Dining,35886415914,New,B2BMarketplace,0.847457627,0.847457627,1.527183873,50,50,"$4,950 ",33%,71%,,,
"Sports, Fitness & Outdoors -> Fishing & Wildlife",36282079731,New,B2BMarketplace,0.046875,0.047619048,0.125,0.075,6,$114 ,42%,32%,0.075,6,$114 
Electronics -> Computers -> Accessories -> Other,37332140043,New,B2BMarketplace,0.4,0.4,2,0.5,4,$32 ,25%,16%,0.571428571,4,$32 
Home Improvement -> Hardware,37332189844,New,B2BMarketplace,0.6,0.666666667,6,0.75,6,$156 ,62%,62%,2,6,$156 
Electronics -> Batteries,39800130723,New,B2BMarketplace,2.897196262,2.897196262,51.66666667,3.069306931,310,"$4,960 ",70%,34%,3.563218391,310,"$4,960 "
"Home -> Appliances -> Small Appliances -> Food Processors, Blenders, Mixers & Ice Cream Makers",40094646555,New Damaged Box,B2BMarketplace,0.008403361,,0.1,0.009174312,1,$29 ,83%,83%,0.014285714,1,$29 
Electronics -> Video Games -> Games -> Sony,40198003407,New,B2BMarketplace,0.146341463,0.146341463,1.161290323,0.171428571,6,$36 ,9%,13%,0.1,3,$18 
Electronics -> Cameras -> Accessories,41333112107,New,B2BMarketplace,0.310344828,0.310344828,0.771428571,0.519230769,27,$54 ,11%,34%,0.529411765,27,$54 
Electronics -> Batteries,41333270357,New,B2BMarketplace,0.027027027,0.027027027,0.5,0.028571429,1,$10 ,56%,67%,0.03125,1,$10 
Home Improvement -> Light Bulbs -> Smart,43168524063,New,B2BMarketplace,0.484375,0.484375,2.49125081,0.613861386,62,"$1,054 ",33%,59%,0.704545455,62,"$1,054 "
Home -> Lighting & Light Fixtures,43168541961,New,B2BMarketplace,12.38421053,16.34027778,32.04389925,19.1300813,2353,"$19,863 ",21%,21%,19.44628099,2353,"$19,863 "
Home Improvement -> Hardware,43168551977,New,B2BMarketplace,0.076923077,0.076923077,3.666666667,0.079136691,11,$253 ,45%,77%,0.081481481,11,$253 
Toys -> Action Figures,43377810339,New,B2BMarketplace,0.013937282,0.022857143,0.06779661,0.034482759,4,$16 ,33%,33%,0.035087719,4,$16 
Movies & TV Media -> DVD Discs,43396096615,New,B2BMarketplace,0.024793388,0.024793388,0.044117647,0.056603774,3,$15 ,63%,100%,0.06,3,$15 
Movies & TV Media -> DVD Discs,43396474819,New,B2BMarketplace,0.003623188,0.007936508,0.005102041,0.0125,1,$3 ,15%,6%,0.0125,1,$3 
Movies & TV Media -> Blu-ray Discs,43396581593,New,B2BMarketplace,0.244444444,0.244444444,1.163461538,0.379310345,11,$55 ,18%,20%,0.392857143,11,$55 
