FullCategoryName,UPC,BundleTitle,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Electronics -> Video Games -> Games -> Microsoft,13388550463,Capcom Resident Evil 3 (Xbox One),BRAND NEW,B2BMarketplace,0.102803738,0.102803738,0.876811594,0.134146341,11,$88 ,19%,13%,0.139240506,11,$88 
Electronics -> Video Games -> Games -> Sony,13388560684,Capcom Street Fighter 6 (PlayStation 4),BRAND NEW,B2BMarketplace,0.058823529,0.058823529,0.1,0.142857143,1,$13 ,22%,22%,,,
Electronics -> Video Games -> Games -> Sony,13388560776,Capcom Resident Evil Village - Standard Edition (PS4),BRAND NEW,B2BMarketplace,0.112903226,0.113821138,1.619834711,0.125,14,$95 ,17%,11%,0.133333333,14,$95 
Electronics -> Video Games -> Games -> Sony,13388560943,Capcom Resident Evil 4 (PS4),BRAND NEW,B2BMarketplace,0.063694268,0.07751938,0.662251656,0.098039216,10,$201 ,34%,34%,0.10989011,10,$201 
Electronics -> Video Games -> Games -> Microsoft,13388570010,Capcom Resident Evil Village (XB1),BRAND NEW,B2BMarketplace,0.090909091,0.090909091,1.191176471,0.109756098,9,$46 ,9%,9%,0.108108108,8,$40 
Electronics -> Video Games -> Games -> Microsoft,13388570096,Capcom Street Fighter 6 (Xbox Series X),BRAND NEW,B2BMarketplace,0.03539823,0.03539823,0.888888889,0.038095238,4,$30 ,14%,13%,0.043956044,4,$30 
Electronics -> Video Games -> Games -> Microsoft,13388570133,Capcom Resident Evil 4 (XB Series X),BRAND NEW,B2BMarketplace,0.030769231,0.030769231,0.25,0.035714286,2,$25 ,22%,25%,0.048780488,2,$25 
Electronics -> Video Games -> Games -> Microsoft,13388570171,"Capcom Resident Evil Village, Gold Edition (Xbox Series X)",BRAND NEW,B2BMarketplace,0.016666667,0.016949153,0.333333333,0.017857143,1,$10 ,31%,20%,0.019230769,1,$10 
Electronics -> Video Games -> Games -> Sony,13388580095,Capcom Street Fighter 6 (PS5),BRAND NEW,B2BMarketplace,0.048780488,0.048780488,0.818181818,0.055045872,6,$94 ,27%,26%,0.057142857,6,$94 
Electronics -> Video Games -> Games -> Sony,13388580132,Capcom Resident Evil 4 (PS5),BRAND NEW,B2BMarketplace,0.056074766,0.056074766,1.285714286,0.058823529,6,$125 ,35%,42%,0.065934066,6,$125 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",13803341768,Canon 5099C001 Standard Capacity Toner 067 Cartridge Yield Yellow,BRAND NEW,B2BMarketplace,0.011111111,0.011111111,0.0625,0.013513514,1,$18 ,19%,24%,0.018518519,1,$18 
Home -> Kitchen & Dining,14400660009,"Ball, Glass Mason Jars with Lids & Bands, Wide Mouth, Clear, 16 oz, 12 Count",BRAND NEW,B2BMarketplace,0.009615385,0.009708738,1,0.009803922,1,$9 ,82%,64%,0.010204082,1,$9 
Home -> Appliances -> Major Appliances -> Laundry,14501165885,Rowenta DW8360 Pro Mastser Xcel Iron,BRAND NEW,B2BMarketplace,0.142857143,0.142857143,0.5,0.2,1,$50 ,56%,63%,0.2,1,$50 
Electronics -> Computers -> Computer Software -> Games,14633369601,EA The Sims 4 Bundle Pack: Outdoor Retreat & Cool Kitchen Stuff Pack (PC),BRAND NEW,B2BMarketplace,0.068965517,0.139534884,0.162162162,0.166666667,18,$54 ,10%,8%,0.18556701,18,$54 
Electronics -> Video Games -> Games -> Microsoft,14633376395,Electronic Arts Star Wars Squadrons (XB1),BRAND NEW,B2BMarketplace,0.075,0.09375,0.3,0.125,3,$9 ,15%,8%,0.142857143,3,$9 
Electronics -> Video Games -> Games -> Sony,14633377194,Electronic Arts PGA Tour (PS5),BRAND NEW,B2BMarketplace,0.048780488,0.048780488,0.571428571,0.052631579,2,$20 ,21%,20%,0.057142857,2,$20 
Electronics -> Video Games -> Games -> Sony,14633377316,Electronic Arts Need For Speed: Unbound (PlayStation 5),BRAND NEW,B2BMarketplace,0.315789474,0.315789474,3.272727273,0.352941176,12,$65 ,14%,18%,0.423076923,11,$55 
Electronics -> Video Games -> Games -> Microsoft,14633379334,Electronic Arts FIFA 23 (Xbox Series X),BRAND NEW,B2BMarketplace,0.01754386,0.01754386,1,0.017857143,1,$5 ,7%,14%,0.024390244,1,$5 
Electronics -> Video Games -> Games -> Sony,14633379389,Electronic Arts Madden NFL 23 (PlayStation 4),BRAND NEW,B2BMarketplace,0.133333333,0.133333333,0.2,0.4,2,$22 ,18%,18%,,,
Electronics -> Video Games -> Games -> Microsoft,14633379426,Electronic Arts Madden NFL 23 (Xbox SX),BRAND NEW,B2BMarketplace,0.529411765,0.529411765,0.75,1.8,9,$81 ,14%,25%,,,
Electronics -> Video Games -> Games -> Microsoft,14633379457,Electronic Arts Madden NFL 23 (XB1),BRAND NEW,B2BMarketplace,0.29787234,0.29787234,3.92,0.341463415,28,$112 ,13%,7%,0.378378378,28,$112 
Electronics -> Video Games -> Games -> Sony,14633379471,Electronic Arts NHL 23 (Playstation 4),BRAND NEW,B2BMarketplace,0.028571429,0.029411765,0.066666667,0.052631579,1,$10 ,17%,34%,0.055555556,1,$10 
Electronics -> Video Games -> Games -> Sony,14633379501,Electronic Arts NHL 23 Standard Edition -(PlayStation 5),BRAND NEW,B2BMarketplace,0.06779661,0.06779661,0.5,0.088888889,4,$25 ,9%,21%,0.075,3,$15 
Electronics -> Video Games -> Games -> Microsoft,14633381689,Electronic Arts F1 2021 (Xbox Series X/XB1),BRAND NEW,B2BMarketplace,0.137741047,0.387596899,0.301895906,0.423728814,50,$150 ,8%,5%,0.45045045,50,$150 
Electronics -> Video Games -> Games -> Sony,14633382006,Electronic Arts F1 2022 - PlayStation 4,BRAND NEW,B2BMarketplace,0.013333333,0.013333333,0.2,0.014285714,1,$5 ,9%,9%,0.014492754,1,$5 
Electronics -> Video Games -> Games -> Sony,14633382051,Electronic Arts F1 23 (PlayStation 5 ),BRAND NEW,B2BMarketplace,0.115384615,0.115384615,1.125,0.133333333,6,$98 ,33%,24%,0.1,4,$60 
Electronics -> Video Games -> Games -> Sony,14633382075,Electronic Arts Sports FC 24 (PS5),BRAND NEW,B2BMarketplace,0.769230769,0.769230769,10.71428571,0.857142857,60,$902 ,23%,43%,0.950819672,58,$852 
Electronics -> Video Games -> Games -> Sony,14633382129,Electronic Arts NHL 24 Standard Edition - (PlayStation 5),BRAND NEW,B2BMarketplace,0.044444444,0.044444444,0.285714286,0.052631579,2,$30 ,22%,43%,0.057142857,2,$30 
Electronics -> Video Games -> Games -> Microsoft,14633382136,Electronic Arts NHL 24 (Xbox Series X),BRAND NEW,B2BMarketplace,0.024390244,0.024390244,0.111111111,0.03125,1,$15 ,21%,43%,0.035714286,1,$15 
Electronics -> Video Games -> Games -> Sony,14633382709,Electronic Arts Wild Hearts (PlayStation 5),BRAND NEW,B2BMarketplace,0.112033195,0.209302326,1.028208745,0.25,27,$322 ,17%,60%,0.268041237,26,$316 
Electronics -> Video Games -> Games -> Nintendo,14633383119,Electronic Arts Super Mega Baseball 4 (Nintendo Switch),BRAND NEW,B2BMarketplace,0.027777778,0.027777778,0.5,0.029411765,1,$6 ,12%,20%,0.038461538,1,$6 
Electronics -> Video Games -> Games -> Sony,14633383270,Electronic Arts Immortals of Aveum (PlayStation 5),BRAND NEW,B2BMarketplace,0.058823529,0.1,0.083333333,0.2,1,$8 ,11%,15%,,,
Electronics -> Video Games -> Games -> Sony,14633383638,Electronic Arts Super Mega Baseball 4 - (PlayStation 4),BRAND NEW,B2BMarketplace,0.025,0.025,0.052631579,0.047619048,1,$4 ,8%,13%,0.071428571,1,$4 
Electronics -> Video Games -> Games -> Sony,14633383973,Electronic Arts EA Sports FC 24 (PlayStation 4),BRAND NEW,B2BMarketplace,0.444444444,0.444444444,4.8,0.631578947,24,$307 ,18%,32%,0.727272727,24,$307 
Electronics -> Video Games -> Games -> Microsoft,14633384055,"Electronic Arts Madden NFL 24 - Xbox Series X, (Xbox One)",BRAND NEW,B2BMarketplace,0.094202899,0.100775194,0.8125,0.128712871,13,$218 ,24%,24%,0.132653061,13,$218 
Electronics -> Computers -> Computer Software -> Games,14633734041,Electronic Arts The Sims 4 City Living - PC/Mac,BRAND NEW,B2BMarketplace,0.149253731,0.310077519,0.338409475,0.363636364,40,$160 ,10%,8%,0.444444444,40,$160 
Electronics -> Video Games -> Games -> Microsoft,14633740165,Electronic Arts NHL 21 (XB1),BRAND NEW,B2BMarketplace,0.184704185,0.805031447,0.285097794,1.174311927,128,$128 ,3%,1%,1.254901961,128,$128 
Electronics -> Computers -> Computer Software -> Games,14633741827,Electronic Arts Plants vs. Zombies: Battle for Neighborville - PC Game,BRAND NEW,B2BMarketplace,0.155440415,0.265486726,0.246462802,0.72,90,$180 ,10%,3%,0.72,90,$180 
Electronics -> Video Games -> Games -> Microsoft,14633742527,Electronic Arts FIFA 22 Standard Edition (Xbox Series X),BRAND NEW,B2BMarketplace,0.554263566,1.108527132,1.867488584,1.211864407,143,$329 ,3%,3%,1.288288288,143,$329 
Electronics -> Video Games -> Games -> Microsoft,14633742589,Electronic Arts NHL 22 (Xbox Series X),BRAND NEW,B2BMarketplace,0.166666667,0.387596899,0.684931507,0.423728814,50,$100 ,3%,3%,0.45045045,50,$100 
Electronics -> Video Games -> Games -> Microsoft,14633742664,Electronic Arts Need For Speed: Unbound (Xbox Series X),BRAND NEW,B2BMarketplace,0.017241379,0.017241379,0.038461538,0.03125,1,$5 ,7%,7%,0.038461538,1,$5 
Electronics -> Video Games -> Games -> Microsoft,14633742671,Electronic Arts Madden NFL 22 - Xbox Series X (XBSX),BRAND NEW,B2BMarketplace,0.943143813,2.186046512,3.668927336,2.389830508,282,$564 ,3%,3%,2.540540541,282,$564 
Electronics -> Video Games -> Games -> Nintendo,14633744552,Electronic Arts FIFA 23 Legacy Edition (NSW),BRAND NEW,B2BMarketplace,0.066666667,0.066666667,0.444444444,0.083333333,2,$40 ,53%,67%,0.153846154,2,$40 
Electronics -> Video Games -> Games -> Sony,14633744651,Electronic Arts Madden NFL 23 (PlayStation 5),BRAND NEW,B2BMarketplace,0.009433962,0.009433962,0.25,0.009803922,1,$20 ,29%,29%,0.010989011,1,$20 
Electronics -> Video Games -> Games -> Sony,14633744781,Electronic Arts Star Wars Jedi: Survivor (PS5),BRAND NEW,B2BMarketplace,0.173076923,0.173076923,5.0625,0.2,9,$109 ,17%,30%,0.225,9,$109 
Electronics -> Video Games -> Games -> Microsoft,14633744828,Electronic Arts Star Wars Jedi: Survivor (Xbox Series X),BRAND NEW,B2BMarketplace,0.096153846,0.096153846,0.735294118,0.131578947,5,$56 ,16%,18%,0.088235294,3,$30 
Electronics -> Video Games -> Games -> Sony,14633744866,Electronic Arts EA Sports UFC 5 (PlayStation 5),BRAND NEW,B2BMarketplace,0.634615385,0.647058824,3.361111111,0.804878049,33,$694 ,30%,43%,0.8,32,$675 
Electronics -> Video Games -> Games -> Microsoft,14633744880,Electronic Arts Sports UFC 5 (Xbox Series X),BRAND NEW,B2BMarketplace,0.027027027,0.041666667,0.076923077,0.041666667,1,$19 ,27%,39%,0.076923077,1,$19 
Electronics -> Video Games -> Games -> Microsoft,14633746334,Electronic Arts Dead Space (Xbox Series X),BRAND NEW,B2BMarketplace,0.044776119,0.045454545,0.5,0.053571429,3,$25 ,15%,12%,0.024390244,1,$7 
